[13:35:03:687]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司第三届监事会第五次会议决议公告/2014-12-25
[14:09:46:671]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:09:46:687]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:09:53:468]  doclst.dat cls ok.
[14:09:53:468]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司关于公司子公司收购Vision7InternationalULC股权暨对外投资的公告/2014-12-15
[14:09:54:000]  upload _600023_DOCLST.dat
[14:09:54:125]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:09:54:125]  upload _StockDocIdxLst.dat
[14:09:54:328]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:09:54:328]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:10:01:609]  doclst.dat cls ok.
[14:10:01:609]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司第三届董事会第二十三次会议决议公告/2014-12-15
[14:10:02:109]  upload _600023_DOCLST.dat
[14:10:02:265]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:10:02:265]  upload _StockDocIdxLst.dat
[14:10:02:468]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:10:02:484]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:10:09:828]  doclst.dat cls ok.
[14:10:09:828]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司第三届董事会第二十四次会议决议公告/2014-12-15
[14:10:10:328]  upload _600023_DOCLST.dat
[14:10:10:515]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:10:10:515]  upload _StockDocIdxLst.dat
[14:10:10:718]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:10:10:734]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:10:17:984]  doclst.dat cls ok.
[14:10:17:984]  处理错误公告...601398,深圳市燃气集团股份有限公司非公开发行限售股上市流通公告/2014-12-08
[14:10:21:312]  upload _601398_DOCLST.dat
[14:10:21:484]  ftp ok._601398_DOCLST.dat.192.168.88.183:21
[14:10:21:484]  upload _StockDocIdxLst.dat
[14:10:21:687]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:10:21:687]  Z:\CBData\Document\StockDocIdxLst\601398_DOCLST.dat cls ok.
[14:10:49:156]  doclst.dat cls ok.
[14:10:49:171]  处理错误公告...002462,江苏通鼎光电股份有限公司兴证资管鑫众7号集合资产管理计划管理合同（草案）/2014-12-09
[14:10:49:437]  upload _002462_DOCLST.dat
[14:10:49:640]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[14:10:49:640]  upload _StockDocIdxLst.dat
[14:10:49:843]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:10:49:859]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[14:10:54:765]  doclst.dat cls ok.
[14:10:54:765]  处理错误公告...002462,江苏通鼎光电股份有限公司关于召开公司2014年第四次临时股东大会的通知/2014-12-09
[14:10:55:046]  upload _002462_DOCLST.dat
[14:10:55:171]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[14:10:55:171]  upload _StockDocIdxLst.dat
[14:10:55:375]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:10:55:390]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[14:11:00:359]  doclst.dat cls ok.
[14:11:00:359]  处理错误公告...002462,江苏通鼎光电股份有限公司第三届董事会第九次会议决议公告/2014-12-09
[14:11:00:640]  upload _002462_DOCLST.dat
[14:11:00:812]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[14:11:00:812]  upload _StockDocIdxLst.dat
[14:11:01:015]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:11:01:015]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[14:11:06:015]  doclst.dat cls ok.
